,Location_Name,Latitude,Longitude,Description,County
0,69th Regiment Armory,40.74166666666667,-73.98361111111112,"Home of the watershed Armory Show in 1913, which introduced America to modern art
",New York
1,Admiral David Glasgow Farragut Gravesite,40.89222222222222,-73.86583333333333,"Only intact known property directly associated with Admiral David Farragut
",Bronx
2,African Burial Ground,40.714444444444446,-74.00444444444445,"Dedicated as National Monument on October 5, 2007; burial site in Lower Manhattan of over 419 Africans from 1690s to 1794
",New York
3,Ambrose (lightship),40.70472222222222,-74.0025,"Lightship, several miles offshore, that marked Ambrose Channel into New York Harbor, now at South Street Seaport Museum.
",Ambrose (lightship)
4,American Stock Exchange,40.70888888888889,-74.0125,"Former headquarters of the American Stock Exchange
",New York
5,Louis Armstrong House,40.754444444444445,-73.86166666666666,"Home of jazz legend Louis Armstrong for 28 years
",Queens
6,Chester A. Arthur House,40.74277777777778,-73.98222222222222,"Home of President Chester A. Arthur; site of his inaugural oath
",Chester A. Arthur House
7,Alice Austen House,40.615,-74.06305555555555,"Home of photographer Alice Austen, now a museum
",Richmond
8,Bartow–Pell Mansion,40.87166666666667,-73.80555555555556,"19th-century mansion in largest New York City park
",Bronx
9,Bayard-Condict Building,40.72638888888889,-73.99555555555555,"Only Louis Sullivan building in New York City; one of the first steel skeleton skyscrapers.
",Bayard-Condict Building
10,Bell Laboratories Building,40.73694444444445,-74.01,"Bell Labs work here included experimental  phonograph record, vacuum tubes, talking movies (1923), black and white and color TV, radar, and early commercial remote broadcasts. Today home to the Westbeth Artists Community (listed separately on the National Register of Historic Places).
",Bell Laboratories Building
11,Brooklyn Bridge,40.70638888888889,-73.9975,"The first steel wire suspension bridge; at one point the largest in the world
",Brooklyn
12,Brooklyn Heights Historic District,40.696666666666665,-73.99666666666667,"Exemplary collection of 19th-century architectural styles; first historic district in New York City
",Brooklyn
13,Center for Brooklyn History,40.69472222222222,-73.99277777777777,"One of the few remaining buildings by George B. Post; innovative structural system
",Brooklyn
14,Ralph Johnson Bunche House,40.70638888888889,-73.83694444444444,"Home of Ralph Johnson Bunche, eminent African-American diplomat and Undersecretary General of United Nations
",Queens
15,Carnegie Hall,40.765,-73.98027777777779,"One of the most famous music venues in the world
",New York
16,Andrew Carnegie Mansion,40.78444444444444,-73.95777777777778,"Home of Andrew Carnegie, now the Cooper-Hewitt, National Design Museum
",New York
17,Central Park,40.78194444444444,-73.96611111111112,"The Green Lung of the city; one of the most visited city parks in the world; designed by Frederick Law Olmsted and Calvert Vaux.
",New York
18,Central Synagogue,40.75972222222222,-73.97055555555556,"Oldest synagogue continuously in use by a New York City Jewish congregation; built in a Moorish Revival style to recognize importance of that period in Jewish history
",New York
19,Chamber of Commerce Building,40.70944444444445,-74.01,"Former home of the Chamber of Commerce of the State of New York, established in 1768; prototype for the chamber of commerce
",New York
20,Chrysler Building,40.751666666666665,-73.97527777777778,"Art Deco skyscraper; distinctive feature of Manhattan skyline; at one point world's tallest building
",New York
21,Church of the Ascension,40.73361111111111,-73.99555555555555,"Early church design by Richard Upjohn; valuable interior artwork
",Church of the Ascension
22,City Hall,40.71277777777778,-74.00583333333333,"Oldest city hall in U.S. still in use as main municipal government building
",New York
23,Conference House,40.503055555555555,-74.25305555555556,"Only surviving pre-Revolutionary War manor house in New York City; site of unsuccessful peace conference in 1776
",Richmond
24,Will Marion Cook House,40.81805555555556,-73.94305555555556,"Home of the leading black composer and musician Will Marion Cook
",New York
25,Cooper Union,40.72944444444445,-73.99055555555556,"Pioneering adult education center; site of famous anti-slavery speech by Abraham Lincoln
",New York
26,Daily News Building,40.74944444444444,-73.97361111111111,"First modern free-standing skyscraper designed by Raymond Hood
",New York
27,Dakota Apartments,40.776666666666664,-73.97638888888889,"Combination of Renaissance architectural styles by Henry Hardenbergh; setting for Rosemary's Baby and the shooting death of John Lennon
",New York
28,Dyckman House,40.8675,-73.92333333333333,"Only remaining farmhouse in Manhattan
",New York
29,Eldridge Street Synagogue,40.715,-73.99388888888889,"One of the oldest synagogues in the U.S.; first built by Jews from Eastern Europe
",New York
30,Duke Ellington House,40.83222222222223,-73.94083333333333,"Ellington, the legendary jazz composer and bandleader, lived in Apartment 4A from 1939 to 1961
",New York
31,Empire State Building,40.748333333333335,-73.98555555555555,"World's tallest building from 1931 to 1972 and internationally recognized symbol of New York City
",New York
32,Equitable Building,40.709722222222226,-74.0111111111111,"One of the earliest skyscrapers in Manhattan; profoundly influenced later skyscraper design
",New York
33,Hamilton Fish House,40.730000000000004,-73.98861111111111,"Home of Hamilton Fish, future Governor and Senator of New York
",New York
34,Flatiron Building,40.74111111111111,-73.98972222222223,"Distinctive triangular building at Madison Square.
",New York
