,lat,long
0,40.64749,-73.97237
1,40.75362,-73.98377
2,40.80902,-73.9419
3,40.68514,-73.95976
4,40.79851,-73.94399
5,40.74767,-73.975
6,40.68688,-73.95596
7,40.68688,-73.95596
8,40.76489,-73.98493
9,40.80178,-73.96723
10,40.71344,-73.99037
11,40.80316,-73.96545
12,40.76076,-73.98867
13,40.66829,-73.98779
14,40.79826,-73.96113
15,40.7353,-74.00525
16,40.70837,-73.95352
17,40.69169,-73.97185
18,40.74192,-73.99501
19,40.67592,-73.94694
20,40.79685,-73.94872
21,40.71842,-73.95718
22,40.68069,-73.97706
23,40.67989,-73.97798
24,40.68001,-73.97865
25,40.68371,-73.94028
26,40.65599,-73.97519
27,40.86754,-73.92639
28,40.76715,-73.98533
29,40.86482,-73.92106
30,40.7292,-73.98542
31,40.82245,-73.95104
32,40.81305,-73.95466
33,40.72219,-73.93762
34,40.8213,-73.95318
35,40.6831,-73.95473
36,40.66869,-73.9878
37,40.68876,-73.94312
38,40.70186,-73.92745
39,40.63702,-73.96327
40,40.71401,-73.98917
41,40.7229,-73.98199
42,40.66278,-73.97966
43,40.69673,-73.97584
44,40.79009,-73.97927
45,40.81175,-73.94478
46,40.65944,-73.96238
47,40.74771,-73.9474
48,40.68111,-73.95591
49,40.68554,-73.9409
50,40.69142,-73.97376
51,40.68043,-73.93934
52,40.78635,-73.97008
53,40.7042,-73.9356
54,40.73506,-73.95392
55,40.73961,-73.98074
56,40.70881,-73.9593
57,40.72004,-73.99104
58,40.75531,-73.99293
59,40.72401,-73.93788
60,40.7221,-73.99775
61,40.71185,-73.96204
62,40.74623,-73.9953
63,40.77065,-73.95269
64,40.67811,-73.96428
65,40.69,-73.96788
66,40.75979,-73.99119
67,40.67343,-73.98338
68,40.72649,-73.97904
69,40.70933,-73.96792
70,40.72298,-73.98474
71,40.80164,-73.93922
72,40.72162,-73.98008
73,40.76342,-73.98865
74,40.83139,-73.94095
75,40.68346,-73.96374
76,40.72828,-73.98801
77,40.76865,-73.95058
78,40.75038,-73.90334
79,40.6932,-73.97267
80,40.74138,-74.00197
81,40.71154,-73.96112
82,40.82915,-73.95136
83,40.71851,-73.98892
84,40.65401,-73.96323
85,40.7114,-73.98794
86,40.69723,-73.99268
87,40.71833,-73.95748
88,40.72334,-73.9844
89,40.72912,-73.98057
90,40.71156,-73.96218
91,40.70032,-73.9383
92,40.68233,-73.97261
93,40.68634,-73.966
94,40.68035,-73.97162
95,40.70984,-73.95775
96,40.70093,-73.92609
97,40.79764,-73.96177
98,40.82803,-73.94731
99,40.74008,-74.00271
100,40.68413,-73.92357
101,40.82279,-73.95139
102,40.67967,-74.00154
103,40.83927,-73.94281
104,40.73096,-74.00319
105,40.71332,-73.94177
106,40.66941,-73.98109
107,40.68373,-73.92377
108,40.71459,-73.94844
109,40.8092,-73.94421
110,40.68157,-73.98989
111,40.75527,-73.99291
112,40.68698,-73.96572
113,40.7288,-73.98192
114,40.66853,-73.98912
115,40.7254,-73.98157
116,40.74294,-73.98009
117,40.71942,-73.95748
118,40.77823,-73.97637
119,40.72555,-73.97965
120,40.66831,-73.98604
121,40.82754,-73.94919
122,40.66499,-73.97925
123,40.77842,-73.97556
124,40.72245,-73.98527
125,40.65593,-73.96053
126,40.71923,-73.96468
127,40.778,-73.94822
128,40.85879,-73.93128
129,40.68332,-73.9547
130,40.81618,-73.94894
131,40.68414,-73.96351
132,40.72392,-73.99143
133,40.73494,-73.9503
134,40.71341,-73.98856
135,40.76754,-73.98399
136,40.73442,-74.00303
137,40.63188,-73.93248
138,40.6873,-73.9634
139,40.68296,-73.93662
140,40.6863,-73.96765
141,40.73409,-73.95348
142,40.71561,-73.94835
143,40.6857,-73.99183
144,40.74028,-73.83168
145,40.68281,-73.93524
146,40.71596,-73.93938
147,40.71492,-73.95935
148,40.72354,-73.98295
149,40.71165,-73.96087
150,40.69101,-73.97312
151,40.73474,-74.00101
152,40.67386,-73.96641
153,40.71536,-73.96057
154,40.6741,-73.96595
155,40.79295,-73.93997
156,40.73226,-74.00401
157,40.71363,-73.96398
158,40.77711,-73.9527
159,40.68559,-73.98094
160,40.77456,-73.95323
161,40.71088,-73.95055
162,40.74559,-73.92313
163,40.68306,-73.94659
164,40.70207,-73.98571
165,40.76123,-73.9642
166,40.66858,-73.99083
167,40.82704,-73.94907
168,40.68843,-73.96408
169,40.6783,-74.00135
170,40.64524,-74.08088
171,40.70641,-73.91765
172,40.83232,-73.93184
173,40.71045,-73.9677
174,40.72518,-73.98034
175,40.70666,-74.01374
176,40.69098,-73.97113
177,40.73756,-74.00405
178,40.81526,-73.94791
179,40.73423,-74.0046
180,40.82374,-73.9373
181,40.68863,-73.97691
182,40.70382,-73.89797
183,40.80549,-73.95924
184,40.71627,-73.9587
185,40.67994,-73.97863
186,40.67992,-73.9475
187,40.67868,-73.97307
188,40.76834,-73.95334
189,40.68237,-73.9415
190,40.74031,-73.99999
191,40.76307,-73.99665
192,40.71882,-73.98852
193,40.6693,-73.98804
194,40.77333,-73.95199
195,40.72319,-73.99201
196,40.74859,-73.99671
197,40.67252,-73.76597
198,40.76244,-73.99271
199,40.69546,-73.93503
200,40.71722,-73.87856
201,40.70234,-73.89816
202,40.71546,-73.87854
203,40.7195,-73.95976
204,40.76548,-73.98474
205,40.80234,-73.95603
206,40.6787,-73.97262
207,40.81035,-73.94598
208,40.83075,-73.93058
209,40.79958,-73.94275
210,40.71625,-73.93845
211,40.6829,-73.93549
212,40.72773,-73.99134
213,40.72861,-74.0049
214,40.70979,-73.95162
215,40.68656,-73.97525
216,40.72752,-73.98432
217,40.729,-73.95829
218,40.81219,-73.94499
219,40.77185,-73.90502
220,40.68926,-73.99386
221,40.72821,-73.98701
222,40.7672,-73.98508
223,40.73012,-73.99053
224,40.7403,-73.98498
225,40.80931,-73.94343
226,40.8251,-73.94287
227,40.6585,-73.98397
228,40.76193,-73.9501
229,40.72052,-73.98589
230,40.70411,-73.89934
231,40.73401,-73.95967
232,40.71756,-73.99503
233,40.7589,-73.96991
234,40.72003,-74.00262
235,40.73194,-73.99474
236,40.79163,-73.94573
237,40.8118,-73.94434
238,40.81583,-73.94707
239,40.72654,-73.98049
240,40.80021,-73.96071
241,40.80942,-73.93936
242,40.71961,-73.9954
243,40.74358,-74.00027
244,40.80335,-73.9575
245,40.71445,-73.9908
246,40.75749,-73.96897
247,40.64446,-73.9503
248,40.7268,-73.99079
249,40.688,-73.9171
250,40.63536,-74.08537
251,40.63627,-74.08543
252,40.63518,-74.08546
253,40.72477,-73.98161
254,40.74238,-73.99567
255,40.72945,-73.95511
256,40.70763,-73.95177
257,40.63481,-74.08519
258,40.75384,-73.91433
259,40.64106,-73.97426
260,40.66793,-73.98327
261,40.81309,-73.85514
262,40.88057,-73.83572
263,40.68236,-73.94314
264,40.72185,-73.98246
265,40.68503,-73.95385
266,40.86648,-73.9263
